屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
サロン　ド　フルベール　高山まつもと店,ｻﾛﾝﾄﾞﾌﾙﾍﾞｰﾙﾀｶﾔﾏﾏﾂﾓﾄﾃﾝ,理美容・エステ業（マッサージ業）,エステ,フェイシャルエステ・化粧品,高山,506-0808,松本町418番地5,070-2647-6588,利用可能
サロン　ド　フルベール　虹ヶ丘,ｻﾛﾝﾄﾞﾌﾙﾍﾞｰﾙﾆｼﾞｶﾞｵｶ,小売業,その他小売り,化粧品・健康食品,高山,506-0001,冬頭町842-2,34-7563,利用不可
サロンドフルベールひだ高山東山店,ｻﾛﾝﾄﾞﾌﾙﾍﾞｰﾙﾋﾀﾞﾀｶﾔﾏﾋｶﾞｼﾔﾏﾃﾝ,理美容・エステ業（マッサージ業）,エステ,エステサロン・化粧品,高山,506-0806,曙町2-15,090-5619-2355,利用可能
サロン　ホヌ,ｻﾛﾝﾎﾇ,理美容・エステ業（マッサージ業）,エステ,エステ,久々野,509-3205,久々野町久々野2540-32,090-4468-9862,利用不可
さわたく工房,ｻﾜﾀｸｺｳﾎﾞｳ,その他の業種,その他,箱入り娘（パズルゲーム）,高山,506-0812,漆垣内町162,0577-32-9363,利用可能
㈱サンエイ,ｻﾝｴｲ,小売業,衣料品・履物,制服・贈答品・イベント用品,高山,506-0031,西之一色町2-90－14,33-6064,利用可能
SANGAWAYA,ｻﾝｶﾞﾜﾔ,小売業,家具,家具・インテリア商品販売,高山,506-0031,西之一色町3-604,34-2300,利用可能
三川屋欅店,ｻﾝｶﾞﾜﾔｹﾔｷﾃﾝ,小売業,その他小売り,土産物・民芸品販売,高山,506-0846,上三之町32,32-5105,利用可能
三川屋本店,ｻﾝｶﾞﾜﾔﾎﾝﾃﾝ,小売業,その他小売り,土産物・民芸品販売,高山,506-0846,上三之町43,32-0536,利用可能
三共リバース,ｻﾝｷｮｳﾘﾊﾞｰｽ,理美容・エステ業（マッサージ業）,鍼・灸,治療院,高山,506-0845,上二之町38,34-6963,利用不可
三共リバースＴ＆Ｓ,ｻﾝｷｮｳﾘﾊﾞｰｽ,理美容・エステ業（マッサージ業）,鍼・灸,鍼灸･ﾏｯｻｰｼﾞ,高山,506-0001,冬頭町1450-5,77-9500,利用不可
サンジェルマン,ｻﾝｼﾞｪﾙﾏﾝ,理美容・エステ業（マッサージ業）,理容室,理容業,高山,506-0058,山田町1411-7,33-9817,利用不可
サン・ジョルディ,ｻﾝｼﾞｮﾙﾃﾞｨ,飲食業,専門料理店,スパゲティ専門店,高山,506-0004,桐生町6-145,34-8586,利用不可
山草苑,ｻﾝｿｳｴﾝ,小売業,その他小売り,植物（茶花・山野草）,高山,506-0807,三福寺町411-4,34-8556,利用不可
サンタの創庫　岡本店,ｻﾝﾀﾉｿｳｺｵｶﾓﾄﾃﾝ,小売業,その他小売り,生活雑貨,高山,506-0054,岡本町2-46-6,35-2752,利用可能
サンタの創庫　新宮店,ｻﾝﾀﾉｿｳｺｼﾝｸﾞｳﾃﾝ,小売業,その他小売り,生活雑貨,高山,506-0035,新宮町1694-1,37-2722,利用可能
山都印刷㈱,ｻﾝﾄｲﾝｻﾂ,その他の業種,その他,一般印刷,高山,506-0031,西之一色町2-90-8,32-1495,利用可能
山都スポーツ,ｻﾝﾄｽﾎﾟｰﾂ,小売業,スポーツ用品,スポーツ用品、学校指定体操服,高山,506-0031,西之一色町3-1081-2,34-3434,利用可能
山都タクシー,ｻﾝﾄﾀｸｼｰ,バス・タクシー運行業,タクシー・代行,タクシー運行業,高山,506-0053,昭和町1-314,32-2323,利用可能
㈱山王企画,ｻﾝﾉｳｷｶｸ,小売業,家具,木製家具・建具,国府,509-4106,国府町漆垣内58,72-3865,利用不可
㈱三礼,ｻﾝﾚｲ,生活関連業,セレモニーホール,葬儀,高山,506-0007,総和町3-96,32-3030,利用不可
SeeQuence,ｼｰｸｴﾝｽ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・カラー他,高山,506-0044,上切町566-1,57-7744,利用可能
シーナ,ｼｰﾅ,小売業,衣料品・履物,靴・バッグ・サイフ,高山,506-0031,西之一色町3-1182-1,35-0572,利用可能
JAひだ　アグリ高山,ｼﾞｪｲｴｲﾋﾀﾞｱｸﾞﾘﾀｶﾔﾏ,小売業,その他小売り,農業資材・農産物直売,高山,506-0044,上切町311,34-0352,利用不可
JAひだ　アグリ丹生川,ｼﾞｪｲｴｲﾋﾀﾞｱｸﾞﾘﾆｭｳｶﾜ,小売業,その他小売り,農業資材,丹生川,506-2121,丹生川町坊方2003,78-2194,利用不可
JAひだ　朝日支店営農,ｼﾞｪｲｴｲﾋﾀﾞｱｻﾋｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,朝日,509-3325,朝日町万石781,55-3201,利用不可
JAひだ　オートパル飛騨高山,ｼﾞｪｲｴｲﾋﾀﾞｵｰﾄﾊﾟﾙﾋﾀﾞﾀｶﾔﾏ,自動車販売・修理業,自動車,自動車(販売・整備),高山,506-0807,三福寺町567,32-0093,利用不可
JAひだ　オートパル飛騨吉城,ｼﾞｪｲｴｲﾋﾀﾞｵｰﾄﾊﾟﾙﾋﾀﾞﾖｼｷ,自動車販売・修理業,自動車,自動車(販売),国府,509-4119,国府町広瀬町1560-1,72-4100,利用不可
JAひだ　清見支店営農,ｼﾞｪｲｴｲﾋﾀﾞｷﾖﾐｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,清見,506-0102,清見町三日町300,68-2206,利用不可
ＪＡひだ　国府支店営農,ｼﾞｪｲｴｲﾋﾀﾞｺｸﾌｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,国府,509-4119,国府町広瀬町1035-1,72-3702,利用不可
JAひだ　米ハウス,ｼﾞｪｲｴｲﾋﾀﾞｺﾒﾊｳｽ,小売業,食料品,米販売,高山,506-0004,桐生町2-389,32-5085,利用不可
JAひだJASS-PORT冬頭,ｼﾞｪｲｴｲﾋﾀﾞｼﾞｬｽﾎﾟｰﾄﾌﾕﾄｳ,小売業,ガソリンスタンド・燃料,油外商品（燃料は商品券対象外）,高山,506-0001,冬頭町1056,36-1990,利用不可
ＪＡひだ　荘川支店営農,ｼﾞｪｲｴｲﾋﾀﾞｼｮｳｶﾜｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,荘川,501-5413,荘川町新渕228-2,05769-2-2007,利用不可
JAひだ　大八支店営農,ｼﾞｪｲｴｲﾋﾀﾞﾀﾞｲﾊﾁｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,高山,506-0802,松之木町119-2,36-0417,利用不可
JAひだ　高山農機センター,ｼﾞｪｲｴｲﾋﾀﾞﾀｶﾔﾏﾉｳｷｾﾝﾀｰ,自動車販売・修理業,農業機械,農業機械(販売・整備),高山,506-0044,上切町311,34-0863,利用不可
ＪＡひだ　高山農機センター　清見農機センター,ｼﾞｪｲｴｲﾋﾀﾞﾀｶﾔﾏﾉｳｷｾﾝﾀｰｷﾖﾐﾉｳｷｾﾝﾀｰ,自動車販売・修理業,農業機械,農業機械(販売・整備),清見,506-0102,清見町三日町300,68-2206,利用不可
ＪＡひだ　高山農機センター　丹生川農機センター,ｼﾞｪｲｴｲﾋﾀﾞﾀｶﾔﾏﾉｳｷｾﾝﾀｰﾆｭｳｶﾜﾉｳｷｾﾝﾀｰ,自動車販売・修理業,農業機械,農業機械(販売・整備),丹生川,506-2121,丹生川町坊方2030-1,78-2192,利用不可
ＪＡひだ　高山農機センター　南大野農機センター,ｼﾞｪｲｴｲﾋﾀﾞﾀｶﾔﾏﾉｳｷｾﾝﾀｰﾐﾅﾐｵｵﾉﾉｳｷｾﾝﾀｰ,自動車販売・修理業,農業機械,農業機械(販売・整備),久々野,509-3205,久々野町久々野2504-1,52-3151,利用不可
JAひだ　丹生川給油所,ｼﾞｪｲｴｲﾋﾀﾞﾆｭｳｶﾜｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,燃料,丹生川,506-2121,丹生川町坊方2004,78-2193,利用不可
JAひだ　燃料センター　LPGセンター,ｼﾞｪｲｴｲﾋﾀﾞﾈﾝﾘｮｳｾﾝﾀｰｴﾙﾋﾟｰｼﾞｰｾﾝﾀｰ,小売業,その他小売り,ガス機器,高山,506-0807,三福寺町590,57-5533,利用不可
JAひだ　燃料センター　燃料配送センター,ｼﾞｪｲｴｲﾋﾀﾞﾈﾝﾘｮｳｾﾝﾀｰﾈﾝﾘｮｳﾊｲｿｳｾﾝﾀｰ,小売業,ガソリンスタンド・燃料,燃料(灯油配送),高山,506-0807,三福寺町590,62-8787,利用不可
JAひだ　花かご館,ｼﾞｪｲｴｲﾋﾀﾞﾊﾅｶｺﾞｶﾝ,小売業,その他小売り,冠婚葬祭ギフト,国府,509-4119,国府町広瀬町1035-1,72-6055,利用不可
JAひだ　本郷支店営農,ｼﾞｪｲｴｲﾋﾀﾞﾎﾝｺﾞｳｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,上宝,506-1313,上宝町在家1875,0578-86-2941,利用不可
JAひだ　南大野事業所,ｼﾞｪｲｴｲﾋﾀﾞﾐﾅﾐｵｵﾉｼﾞｷﾞｮｳｼｮ,小売業,その他小売り,農業資材,久々野,509-3206,久々野町山梨914,52-2924,利用不可
JAひだ　宮支店営農,ｼﾞｪｲｴｲﾋﾀﾞﾐﾔｼﾃﾝｴｲﾉｳ,小売業,その他小売り,農業資材,一之宮,509-3505,一之宮町3364-1,53-2311,利用不可
ＪＡひだ　吉城農機センター　国府農機センター,ｼﾞｪｲｴｲﾋﾀﾞﾖｼｷﾉｳｷｾﾝﾀｰｺｸﾌﾉｳｷｾﾝﾀｰ,自動車販売・修理業,農業機械,農業機械(販売･整備),国府,509-4119,国府町広瀬町1054-5,72-3705,利用不可
シェゴウ,ｼｪｺﾞｳ,小売業,パン・菓子,洋菓子,高山,506-0055,上岡本町4-439-1,33-6635,利用不可
ciel  占い　コーチング,ｼｴﾙｳﾗﾅｲｺｰﾁﾝｸﾞ,その他の業種,その他,占いコーチング,高山,,,090-4859-7889,利用不可
自家製ヨーグルト専門店 COWCOW,ｼﾞｶｾｲﾖｰｸﾞﾙﾄｾﾝﾓﾝﾃﾝｶｳｶｳ,小売業,食料品,ヨーグルト,高山,506-0031,西之一色町3-695-6,0577-70-1414,利用可能
レストラン四季,ｼｷ,飲食業,レストラン,飛騨牛･ﾊﾝﾊﾞｰｸﾞｶﾚｰ,高山,506-0032,千島町264-1,35-2335,利用可能
四季折々　集Bar,ｼｷｵﾘｵﾘﾂﾄﾞｲﾊﾞｰ,飲食業,酒場,飛騨豚スぺアリブ・ビール等,高山,506-0017,朝日町23-9,36-2311,利用可能
四季旬彩　やました,ｼｷｼｭﾝｻｲﾔﾏｼﾀ,飲食業,酒場,魚料理・酒類,高山,506-0007,総和町1-1,32-6460,利用可能
式部の庵,ｼｷﾌﾞﾉｲｵﾘ,飲食業,麺類店,さぬきうどん・郷土料理,荘川,501-5415,荘川町一色73,05769-2-2191,利用不可
ジグザグサービス,ｼﾞｸﾞｻﾞｸｻｰﾋﾞｽ,小売業,家電,電化製品,高山,506-0005,七日町2-215,34-2591,利用不可
ZX.BAR,ｼﾞｸｽﾊﾞｰ,飲食業,酒場,酒,高山,506-0017,朝日町24-1寿保羅館1F,0577-35-5181,利用不可
志げ,ｼｹﾞ,飲食業,酒場,酒類・料理,高山,506-0017,朝日町23,33-1188,利用不可
しげのや,ｼｹﾞﾉﾔ,飲食業,酒場,アルコール,高山,506-0017,朝日町17　T5ビル2F,36-2244,利用不可
㈱しげん,ｼｹﾞﾝ,建設業,設備,融雪･床暖房設備施工,高山,506-0055,上岡本町3-333,34-6966,利用不可
ShiGenchi,ｼｹﾞﾝﾁ,飲食業,レストラン,食事,高山,506-0052,下岡本町1659-1,090-5604-8832,利用不可
四十八滝温泉　しぶきの湯遊湯館　ハッピーハンズ,ｼｼﾞｭﾊｯﾀｷｵﾝｾﾝｼﾌﾞｷﾉﾕﾕﾕｶﾝﾊｯﾋﾟｰﾊﾝｽﾞ,理美容・エステ業（マッサージ業）,マッサージ,リラクゼーション,国府,509-4121,国府町宇津江964,0577-72-5532,利用可能
治助ファーム,ｼﾞｽｹﾌｧｰﾑ,小売業,食料品,ブルーベリー・生・ジャム・冷凍,清見,509-2702,清見町大原464,0576-69-2110,利用可能
資生堂美容室,ｼｾｲﾄﾞｳﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,美容業,高山,506-0026,花里町4-46,32-2729,利用不可
四川家庭料理　香満楼,ｼｾﾝｶﾃｲﾘｮｳﾘｺｳﾏﾝﾛｳ,飲食業,中華料理店,中華料理,高山,506-0825,石浦町2-228,35-6858,利用不可
自然食品の店　アニュー高山店,ｼｾﾞﾝｼｮｸﾋﾝﾉﾐｾｱﾆｭｰﾀｶﾔﾏﾃﾝ,小売業,食料品,無添加食品（調味料・生鮮食品）,高山,506-0011,本町4-8,36-4783,利用不可
陣屋前朝市　山田もち店,ｼﾞﾆｬﾏｴｱｻｲﾁﾔﾏﾀﾞﾓﾁﾃﾝ,小売業,食料品,切り餅・漬け物,高山,506-0012,八軒町1-5,33-7633,利用不可
しのぶ食堂,ｼﾉﾌﾞｼｮｸﾄﾞｳ,飲食業,その他飲食店,日替り弁当,高山,506-0052,下岡本町3070-5,33-8431,利用不可
㈱地ビール飛騨　工房ショップ,ｼﾞﾋﾞｰﾙﾋﾀﾞｺｳﾎﾞｳｼｮｯﾌﾟ,小売業,酒屋,地ビール,高山,506-0031,西之一色町3-773-2,36-3434,利用可能
じびるや,ｼﾞﾋﾞﾙﾔ,飲食業,酒場,飛騨高山麦酒・レモネード等,高山,506-0017,朝日町1,32-3041,利用不可
思歩音,ｼﾌｫﾝ,小売業,パン・菓子,米粉シフォンケーキ,高山,506-0035,新宮町3750-6,090-9024-5116,利用不可
渋草焼 窯元 芳国舎,ｼﾌﾞｸｻﾔｷﾎｳｺｸｼｬ,小売業,その他小売り,渋草焼　芳国舎,高山,506-0845,上二之町63,34-0504,利用可能
しふくのゆらり,ｼﾌｸﾉﾕﾗﾘ,理美容・エステ業（マッサージ業）,マッサージ,全身もみほぐし、アロマリンパ,高山,506-0035,新宮町1978-1,36-5115,利用不可
しまくら表具・インテリア,ｼﾏｸﾗﾋｮｳｸﾞ･ｲﾝﾃﾘｱ,建設業,住宅建築,クロス貼・襖・障子貼替,高山,506-0824,片野町2-20,090-2180-5290,利用不可
㈱シマダ,ｼﾏﾀﾞ,自動車販売・修理業,農業機械,農業機械,高山,506-0054,岡本町1-76-8,33-0763,利用可能
島谷快鍼院,ｼﾏﾀﾆｶｲｼﾝｲﾝ,理美容・エステ業（マッサージ業）,整体,はり・きゅう・整体,高山,506-0058,山田町1523-28,33-0075,利用不可
㈲島光自動車,ｼﾏﾐﾂｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車,高山,506-0035,新宮町3785-4,32-0578,利用可能
㈲島本機工,ｼﾏﾓﾄｷｺｳ,その他の業種,その他,木工機械・刃物・ペーパー,朝日,509-3304,朝日町立岩928,55-3678,利用可能
清水商事㈱　聖橋ＳＳ,ｼﾐｽﾞｼｮｳｼﾞﾋｼﾞﾘﾊﾞｼSS,小売業,ガソリンスタンド・燃料,ガソリンスタンド,高山,506-0003,本母町281-3,32-0362,利用不可
清水商事㈱　リブレ三福寺ＳＳ,ｼﾐｽﾞｼｮｳｼﾞﾘﾌﾞﾚｻﾝﾌｸｼﾞss,小売業,ガソリンスタンド・燃料,ガソリンスタンド,高山,506-0807,三福寺町363-12,32-2839,利用不可
清水商事㈱　リブレ高山ＳＳ,ｼﾐｽﾞｼｮｳｼﾞﾘﾌﾞﾚﾀｶﾔﾏSS,小売業,ガソリンスタンド・燃料,ガソリンスタンド,高山,506-0053,昭和町3-111,33-1321,利用不可
清水陶器,ｼﾐｽﾞﾄｳｷ,小売業,雑貨,陶器・ガラス器他,高山,506-0005,七日町2-207,32-3713,利用不可
㈲シモガタ,ｼﾓｶﾞﾀ,自動車販売・修理業,自動車,自動車車検、修理、板金塗装,国府,509-4124,国府町村山261-1,72-4137,利用可能
㈲下形設備,ｼﾓｶﾞﾀｾﾂﾋﾞ,建設業,管工事,給排水工事,国府,509-4124,国府町村山462-1,72-3009,利用不可
㈲下島自動車,ｼﾓｼﾞﾏｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,自動車部品,荘川,501-5404,荘川町黒谷70-2,05769-2-2131,利用不可
㈱下野工務店,ｼﾓﾉｺｳﾑﾃﾝ,建設業,住宅建築,住宅建築・リフォーム,丹生川,506-2123,丹生川町町方1476番地3,78-1082,利用不可
㈱下本商会,ｼﾓﾓﾄｼｮｳｶｲ,小売業,その他小売り,作業服・安全靴・電動工具等,高山,506-0007,総和町3-72,33-0333,利用可能
下屋鍼灸接骨院,ｼﾓﾔｼﾝｷｭｳｾｯｺﾂｲﾝ,理美容・エステ業（マッサージ業）,鍼・灸,治療・施術･物品,高山,506-0026,花里町4-68,35-2900,利用可能
下山酒店,ｼﾓﾔﾏｻｹﾃﾝ,小売業,酒屋,あの石川醤油がある店,高山,506-0041,下切町198-1,33-0148,利用可能
車検のコバック　高山西之一色店,ｼｬｹﾝﾉｺﾊﾞｯｸ,自動車販売・修理業,自動車,自動車修理、車検,高山,506-0031,西之一色町3-1078-1,32-5895,利用可能
シャトレーゼ高山店,ｼｬﾄﾚｰｾﾞﾀｶﾔﾏﾃﾝ,小売業,パン・菓子,菓子,高山,506-0009,花岡町3-102-1,36-0633,利用可能
シャトレーヌ,ｼｬﾄﾚｰﾇ,理美容・エステ業（マッサージ業）,美容サロン,リラクゼーション,高山,506-0031,西之一色町3-1685-1,0577-36-3566,利用可能
三味線　太鼓　笛の福栄楽器,ｼｬﾐｾﾝﾀｲｺﾌｴﾉﾌｸｴｲｶﾞｯｷ,小売業,その他小売り,和楽器　まつり用品　音楽教室,高山,506-0807,三福寺町359-4,34-3455,利用可能
（同）JAM,ｼﾞｬﾑ,その他の業種,その他,イベント入場料・チケット代,高山,506-0834,宗猷寺町60,090-5065-0595,利用可能
シャルム　ヘアアート,ｼｬﾙﾑﾍｱｱｰﾄ,理美容・エステ業（マッサージ業）,美容室,美容室,国府,509-4122,国府町名張1726-3,72-2001,利用不可
シャレー中西,ｼｬﾚｰﾅｶﾆｼ,ホテル・旅館業等,旅館,宿泊・宴会,丹生川,506-2114,丹生川町日影48,79-2121,利用可能
ｊｕｎｇｌｅ　Ｂｒｅａｔｈ,ｼﾞｬﾝｸﾞﾙﾌﾞﾚｽ,理美容・エステ業（マッサージ業）,整体,リラクゼーション業,高山,506-0031,西之一色町2-37-5,090-7303-5606,利用可能
ジャングルメイガン,ｼﾞｬﾝｸﾞﾙﾒｲｶﾞﾝ,小売業,衣料品・履物,セレクト古着、ハンドメイド小物,高山,506-0015,花川町18-2,36-3652,利用不可
ジャンボあらき　花岡店,ｼﾞｬﾝﾎﾞｱﾗｷﾊﾅｵｶﾃﾝ,小売業,ホームセンター,ホームセンター,高山,506-0009,花岡町3-148-1,34-6360,利用可能
住職書房,ｼﾞｭｳｼｮｸｼｮﾎﾞｳ,小売業,その他小売り,書籍,高山,506-0031,西之一色町2-84,090-6751-5676,利用不可
しゅえっと,ｼｭｴｯﾄ,理美容・エステ業（マッサージ業）,美容室,美容室,清見,506-0101,清見町牧ケ洞3161-1,70-8543,利用不可
ジュエリー　ＢＥ,ｼﾞｭｴﾘｰﾋﾞｰ,小売業,宝飾品・眼鏡,宝石・貴金属,高山,506-0011,本町4-22,32-0026,利用不可
sucre nail.,ｼｭｸﾚﾈｲﾙ,理美容・エステ業（マッサージ業）,美容サロン,ネイルサロン,高山,506-0052,下岡本町1575-1sucre nail.,090-5111-9223,利用可能
酒菜　かみの,ｼｭｻｲｶﾐﾉ,飲食業,酒場,居酒屋,高山,506-0052,下岡本町1035-1,34-8834,利用不可
酒菜　悠,ｼｭｻｲﾕｳ,飲食業,酒場,飲食,高山,506-0818,江名子町610,33-6514,利用不可
酒舗　とちもと,ｼｭﾎﾄﾁﾓﾄ,小売業,酒屋,酒類,久々野,509-3205,久々野町久々野1782-1,52-2061,利用不可
趣味の店　ひいらぎ堂,ｼｭﾐﾉﾐｾﾋｲﾗｷﾞﾄﾞｳ,小売業,雑貨,陶器・フクロウ・カエルのグッズ,高山,506-0843,下一之町3,090-7437-5186,利用可能
旬庵,ｼｭﾝｱﾝ,飲食業,酒場,居酒屋料理,高山,506-0016,末広町60,34-9693,利用可能
旬彩ダイニング　菜の花,ｼｭﾝｻｲﾀﾞｲﾆﾝｸﾞﾅﾉﾊﾅ,飲食業,レストラン,飲食品,国府,509-4123,国府町金桶31番地1,080-1617-9978,利用可能
